04/03/2026-10:50:03.609016  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:05.594016  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:07.576962  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:09.561965  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:11.608951  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:13.593026  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:15.576949  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:17.562037  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:19.608978  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:21.593021  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:23.577121  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:25.560990  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:27.545007  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:29.592954  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:31.577042  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:33.562015  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:35.609034  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:37.593962  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
